tag,stemtag,sp,quadrat,survey.ID,measure,codes,notes,field.recorders,caliper_limit,dead,marked_replace
101312,1,fram,1016,2021.01,NA,DS,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
101312,1,fram,1016,2021.11,NA,DN,NA,Jen Jordan,NA,TRUE,FALSE
102348,1,qual,1025,2021.11,37.21,RE,band irregular & didn’t adjust/ measurement error likely,Nate Looker,FALSE,FALSE,TRUE
102364,1,qual,1025,2021.08,115.28,RE,needs new band,Jen Jordan,FALSE,FALSE,TRUE
102365,1,litu,1025,2021.01,66.05,RE,NA,"Bill McShea, Jessica Shue",FALSE,FALSE,TRUE
102365,1,litu,1025,2021.11,73.05,RE,NA,Nate Looker,FALSE,FALSE,TRUE
111029,1,litu,1107,2021.01,NA,DC,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
111029,1,litu,1107,2021.11,NA,DC,NA,Nate Looker,NA,TRUE,FALSE
111041,1,quru,1108,2021.11,32.84,RE,NA,Nate Looker,FALSE,FALSE,TRUE
111292,1,fram,1116,2021.11,75.16,DS,NA,Jen Jordan,FALSE,TRUE,FALSE
112060,1,fram,1117,2021.01,93.27,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
112060,1,fram,1117,2021.11,95.3,DS,NA,Jen Jordan,FALSE,TRUE,FALSE
112118,1,quru,1119,2021.01,64.96,DS;L,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
112118,1,quru,1119,2021.11,64.75,DS,NA,Jen Jordan,FALSE,TRUE,FALSE
121291,1,qupr,1210,2021.01,109.92,RE,NA,"Bill McShea, Jessica Shue",FALSE,FALSE,TRUE
121291,1,qupr,1210,2021.11,116.2,RE,NA,Nate Looker,FALSE,FALSE,TRUE
121305,1,quru,1211,2021.11,16.2,RE,NA,Nate Looker,FALSE,FALSE,TRUE
121358,1,fram,1216,2021.11,9.55,DS,NA,Jen Jordan,FALSE,TRUE,FALSE
122005,1,fram,1217,2021.01,102.82,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
122005,1,fram,1217,2021.11,105.65,DS,NA,Jen Jordan,FALSE,TRUE,FALSE
122343,1,qual,1225,2021.08,130.5,RE,new band needed,Jen Jordan,FALSE,FALSE,TRUE
122452,1,fram,1226,2021.01,64.4,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
122452,1,fram,1226,2021.11,65.48,DS,NA,Jen Jordan,FALSE,TRUE,FALSE
130718,1,litu,1306,2021.11,53.21,RE,band irregular & didn’t adjust/ measurement error likely. nail impeding,Nate Looker,FALSE,FALSE,TRUE
131086,1,quru,1310,2021.11,96.6,RE,NA,Nate Looker,FALSE,FALSE,TRUE
131227,1,litu,1313,2021.11,122.6,RE,needs new tag,Jen Jordan,FALSE,FALSE,TRUE
131232,1,litu,1313,2021.11,121.73,RE,NA,Jen Jordan,FALSE,FALSE,TRUE
131272,1,fram,1315,2021.01,NA,DC,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
131272,1,fram,1315,2021.11,NA,DC,NA,Jen Jordan,NA,TRUE,FALSE
131352,1,fram,1316,2021.01,NA,DS,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
131352,1,fram,1316,2021.11,NA,DN,NA,Jen Jordan,NA,TRUE,FALSE
132028,1,fram,1317,2021.01,54.05,DS,eab emergence holes,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
132028,1,fram,1317,2021.11,NA,DS; Q,standing dead. band removed 11-15-21,Jen Jordan,NA,TRUE,FALSE
132508,1,quve,1328,2021.01,86.28,RE,stuck under nail,"Bill McShea, Jessica Shue",FALSE,FALSE,TRUE
132508,1,quve,1328,2021.11,93.71,RE,nail distorting band,Jen Jordan,FALSE,FALSE,TRUE
132524,1,litu,1329,2021.01,NA,DC,pinned by 132525,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
132524,1,litu,1329,2021.11,NA,DC,NA,Jen Jordan,NA,TRUE,FALSE
132525,1,fram,1329,2021.01,NA,DC,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
132525,1,fram,1329,2021.11,NA,DC,NA,Jen Jordan,NA,TRUE,FALSE
140467,1,quve,1404,2021.01,NA,DS,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
140467,1,quve,1404,2021.11,NA,DS,NA,Bill McShea,NA,TRUE,FALSE
140736,1,quve,1407,2021.11,73.17,RE,NA,Nate Looker,FALSE,FALSE,TRUE
140751,1,quru,1408,2021.01,88.72,RE,window bent,"Bill McShea, Jessica Shue",FALSE,FALSE,TRUE
140756,1,quve,1408,2021.01,NA,DS,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
140756,1,quve,1408,2021.11,NA,DC,NA,Nate Looker,NA,TRUE,FALSE
140818,1,litu,1410,2021.11,86.53,RE,replace tag,Nate Looker,FALSE,FALSE,TRUE
140819,1,litu,1411,2021.01,2.28,DS,NA,"Bill McShea, Jessica Shue",TRUE,TRUE,FALSE
140819,1,litu,1411,2021.11,1.69,DS,NA,Nate Looker,TRUE,TRUE,FALSE
141088,1,fram,1415,2021.11,NA,DC,NA,Jen Jordan,NA,TRUE,FALSE
141146,1,caco,1416,2021.01,17.65,DS;B,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
141146,1,caco,1416,2021.11,19.14,DS,NA,Jen Jordan,FALSE,TRUE,FALSE
142206,1,fram,1419,2021.01,97.9,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
142206,1,fram,1419,2021.11,NA,DS,NA,Bill McShea,NA,TRUE,FALSE
142735,1,qual,1432,2021.01,85.48,RE,quve; stuck under nail,"Bill McShea, Jessica Shue",FALSE,FALSE,TRUE
142735,1,qual,1432,2021.11,91.54,RE,NA,Jen Jordan,FALSE,FALSE,TRUE
150756,1,quve,1503,2021.01,NA,DS,prse,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
150756,1,quve,1503,2021.11,NA,DS,NA,Bill McShea,NA,TRUE,FALSE
160910,1,litu,1607,2021.01,124.46,RE,NA,"Bill McShea, Jessica Shue",FALSE,FALSE,TRUE
160910,1,litu,1607,2021.09,143.51,RE,needs new band,Jen Jordan,FALSE,FALSE,TRUE
160910,1,litu,1607,2021.1,141.43,RE,needs new band,Jen Jordan,FALSE,FALSE,TRUE
160910,1,litu,1607,2021.11,143.23,RE,NA,Bill McShea,FALSE,FALSE,TRUE
171314,1,quru,1712,2021.01,NA,DC,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
171314,1,quru,1712,2021.11,NA,DC,NA,Bill McShea,NA,TRUE,FALSE
171358,1,fram,1714,2021.01,13.58,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
171358,1,fram,1714,2021.11,14.3,DS,NA,Bill McShea,FALSE,TRUE,FALSE
172255,1,qual,1720,2021.01,124.2,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
172472,1,fram,1728,2021.01,24.85,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
172472,1,fram,1728,2021.11,22.99,DS,NA,Bill McShea,FALSE,TRUE,FALSE
180791,1,cagl,1811,2021.01,1,NA,gap almost closed; double-checked,"Bill McShea, Jessica Shue",TRUE,NA,NA
180791,1,cagl,1811,2021.11,0,NA,no gap in band,Bill McShea,TRUE,NA,NA
182161,1,fram,1822,2021.01,2.47,DS;B,NA,"Bill McShea, Jessica Shue",TRUE,TRUE,FALSE
182161,1,fram,1822,2021.11,NA,DS,NA,Bill McShea,NA,TRUE,FALSE
182248,1,nysy,1820,2021.11,NA,DN,tree not found,Bill McShea,NA,TRUE,FALSE
182451,1,fram,1829,2021.01,28.55,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
182451,1,fram,1829,2021.11,30.99,DS,NA,Bill McShea,FALSE,TRUE,FALSE
182498,1,fram,1831,2021.01,27.92,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
182498,1,fram,1831,2021.11,26.69,DS,NA,Bill McShea,FALSE,TRUE,FALSE
190694,1,quru,1909,2021.09,23.11,RE,"band needs repairs, see photo",Jen Jordan,FALSE,FALSE,TRUE
190694,1,quru,1909,2021.1,21.46,RE,"band needs repairs, see photo",Jen Jordan,FALSE,FALSE,TRUE
190838,1,quru,1916,2021.03,69.08,DS,NA,Brianna Calkins,FALSE,TRUE,FALSE
190838,1,quru,1916,2021.04,70.55,DS,NA,Brianna Calkins,FALSE,TRUE,FALSE
190838,1,quru,1916,2021.06,71.36,DS,NA,Brianna Calkins,FALSE,TRUE,FALSE
190935,1,quru,1916,2021.01,NA,DC,NA,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
190935,1,quru,1916,2021.11,NA,DN,NA,Bill McShea,NA,TRUE,FALSE
192062,1,qupr,1920,2021.11,NA,DS,NA,Bill McShea,NA,TRUE,FALSE
192064,1,qupr,1920,2021.11,NA,DS; Q,NA,Bill McShea,NA,TRUE,FALSE
192532,1,fagr,1928,2021.01,125.87,RE,NA,"Bill McShea, Jessica Shue",FALSE,FALSE,TRUE
192532,1,fagr,1928,2021.11,143.81,RE,needs new band,Bill McShea,FALSE,FALSE,TRUE
192570,1,fram,1931,2021.01,NA,DS,gap closed,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
192570,1,fram,1931,2021.11,NA,DS,NA,Bill McShea,NA,TRUE,FALSE
200038,1,litu,2001,2021.11,NA,RE,band missing,Bill McShea,NA,FALSE,TRUE
200038,2,litu,2001,2021.11,NA,RE,band missing,Bill McShea,NA,FALSE,TRUE
200613,1,litu,2004,2021.11,NA,RE,band on ground,Bill McShea,NA,FALSE,TRUE
202536,1,fram,2028,2021.01,105.96,DS,eab emergence holes,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
202536,1,fram,2028,2021.11,106.84,DS,NA,Bill McShea,FALSE,TRUE,FALSE
202541,1,fram,2028,2021.01,NA,DS,gap closed,"Bill McShea, Jessica Shue",NA,TRUE,FALSE
202541,1,fram,2028,2021.11,0,DS,no gap in band,Bill McShea,TRUE,TRUE,FALSE
202581,1,fram,2031,2021.01,64.39,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
202586,1,fram,2032,2021.01,43.86,DS,NA,"Bill McShea, Jessica Shue",FALSE,TRUE,FALSE
